name,rest_type,dish_liked,rate,votes,location
Drunken Monkey,"Beverage Shop, Quick Bites","Chicken Tikka Sandwich, Hot Chocolate Brownie, Red Velvet Shake, Chicken Sandwiches, French Fries, Cheese Sandwich, Irish Cream Coffee",4.4/5,288,Bannerghatta Road
Biryani Kitchen,Food Court,"Chicken Boneless Biryani, Hyderabadi Dum Biryani, Raita, Mutton Biryani, Prawn Biryani, Vegetable Biryani, Hyderabadi Chicken Biryani",4.3 /5,634,Whitefield
Burger King,Quick Bites,"Burgers, Chicken Tandoori Grill Burger, Cheesy Chicken Fries, Chicken Whopper, Whopper Burger, Tandoor Chicken Burger, Mutton Whopper",3.9 /5,653,Commercial Street
Biriyani Zone,Casual Dining,"Plain Rice, Hyderabadi Biryani, Panneer Butter Masala, Mutton Biryani, Tandoori Chicken, Chicken Boneless Biryani, Vegetable Biryani",4.0 /5,1633,Whitefield
Nandhana Palace,"Casual Dining, Bar","Bamboo Chicken, Chicken Guntur, Mutton Bone Soup, Chicken Boneless Biryani, Hyderabadi Biryani, Chicken Kshatriya, Vegetable Biryani",4.3 /5,1083,JP Nagar
Hyderabad Biryaani House,Casual Dining,"Hyderabadi Style Biryani, Tandoori Chicken, Mutton Biryani, Vegetable Biryani, Dum Biryani, Chicken Boneless Biryani, Lemon Chicken",3.7/5,833,Marathahalli
Biriyani House,Casual Dining,"Butter Naan, Hyderabadi Biryani, Tandoori Chicken, Butter Chicken, Chicken Dum Biryani, Vegetable Biryani, Chicken Boneless Biryani",3.7/5,600,Nagawara
New Andhra House,Casual Dining,"Hyderabadi Style Biryani, Pot Biryani, Andhra Style Biryani, Buttermilk, Guntur Chicken Biryani, Chicken Vepudu, Vegetable Biryani",3.7/5,522,Electronic City
Onesta,"Casual Dining, Cafe","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza",4.4/5,4410,JP Nagar
Biryani Pot,Casual Dining,"Hyderabadi Biryani, Vegetable Biryani, Mutton Biryani, Veg Dum Biryani, Chicken Boneless Biryani, Egg Biryani, Chicken Dum Biryani",3.8/5,1073,BTM
Meghana Foods,Casual Dining,"Chicken Boneless Biryani, Mutton Biryani, Hyderabadi Biryani, Andhra Style Biryani, Vegetable Biryani, Fry Prawns, Paneer Biryani",4.3 /5,2177,Residency Road
Biryanis And More,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",4.0/5,618,Jayanagar
Basmati Bar & Restaurant,Casual Dining,"Bamboo Chicken, Panneer Butter Masala, Chicken Dum Biryani, Paneer Tikka Biryani, Garlic Naan, Ghee Rice, Avakai Chicken Biryani",3.8 /5,345,Marathahalli
Xpress Biryani,Casual Dining,"Butter Chicken Biryani, Gulab Jamun, Chicken Afghani Biryani, Chicken Tikka Biryani, Dal Bukhara, Hara Bhara Kebab, Mutton Keema",4.3 /5,151,Ulsoor
Suchithra Biryani House,Casual Dining,"Chicken Guntur, Hyderabadi Biryani, Ghee Roast Biryani, Chicken Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani, Raita",4.0 /5,395,Marathahalli
Paradise,Casual Dining,"Kalmi Kabab, Hyderabadi Dum Biryani, Vegetable Biryani, Haleem, Supreme Mutton Biryani, Paneer Tikka, Hyderabadi Mutton Biryani",4.0/5,1974,JP Nagar
Frozen Bottle,Beverage Shop,"Chocolate Hazelnut, Red Velvet Shake, Thick Shakes, Mango Milkshake, Brownie Chocolate, Belgian Chocolate Milkshake, Oreo Shake",4.1 /5,244,Koramangala 5th Block
Cafe Nukkad,Quick Bites,"Cheese Sandwiches, Cheese Sandwich, Chocolate Sandwich, Chicken Sandwich, Chocolate Sandwiches, French Fries, Teriyaki Chicken",4.0/5,89,Kalyan Nagar
The ThickShake Factory,Beverage Shop,"Thick Shakes, Belgium Chocolate, Triple Choco Chip, Chocolate Thickshake, Brownie Shake, Mango Blast, Belgian Chocolate Shake",4.3/5,235,Koramangala 7th Block
Birinz,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Egg Chilli, Tomato Soup, Mutton Biryani, Butter Chicken Biryani, Paneer Biryani",4.1/5,292,BTM
Stoner,"Dessert Parlor, Cafe","Burgers, Cheesy Chicken Burger, Chicken Chilli Pizza, Monster Burger, Butter Chicken Pizza, Peri Peri Chicken Burger, Mojito",4.3 /5,591,Sarjapur Road
Chefactory Gold by Flechazo,Casual Dining,"Chicken Tikka Biryani, Hyderabadi Chicken Dum Biryani, Raita, Paneer Tikka, Sandwich, Chicken Malai Tikka, Grilled Mushrooms",3.7 /5,354,Whitefield
Basmati Delights,Delivery,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani",4.0/5,870,BTM
Mani's Dum Biryani,Casual Dining,"Vegetable Biryani, Raita, Chicken Boneless Biryani, Biryani Combo, Mutton Biryani, Chicken Kebab Biryani, Hyderabadi Biryani",4.0 /5,918,Bellandur
Aroma's Hyderabad House,Casual Dining,"Vegetable Biryani, Hyderabadi Biryani, Chicken Dum Biryani, Raita, Chicken Boneless Biryani, Mutton Biryani, Paneer Biryani",4.2/5,533,Nagawara
Happy Endings,"Bakery, Dessert Parlor","Brownie Fudge Sundae, Cheesecake, Ferrero Rocher Shake, Chocolate Mocha, Chocolate Truffle, Pasta Alfredo, Chocolate Sundae",4.2 /5,506,Bellandur
Hyderabadi Spice,Casual Dining,"Chilli Chicken, Chicken Tikka, Paneer Biryani, Mutton Biryani, Hyderabadi Chicken Biryani, Vegetable Biryani, Lemon Chicken",4.0/5,1369,Electronic City
Meghana Foods Grand,Casual Dining,"Andhra Thali, Veg Thali, Lollipop Biryani, Chicken Boneless Biryani, Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani",4.2 /5,3367,Marathahalli
Mojo Pizza - 2X Toppings,"Takeaway, Delivery","Chicken Wings, Margherita Pizza, Veggie Pizza, Brownie Chocolate, Chocolava Cake, Exotic Garlic Bread, Cheesy Garlic Bread",4.1 /5,167,Bellandur
Waffle Walle,Kiosk,"Liege Waffle, Vanilla Ice Cream, Chocolate Waffles, Chocolate Drink, Crunchy Waffles, Chocolate Icecreams, Belgian Waffles",4.4/5,677,Bannerghatta Road
Leon Grill,Quick Bites,"Burgers, Fries, Chicken Filet Burger, Peri Peri Chicken Wings, Peri Peri Chicken Salad, Peri Peri Chicken Burger, Falafel",4.1/5,418,Jayanagar
The Biryanis,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Vegetable Biryani, Chicken Majestic, Mutton Biryani, Mirch Ka Saalan, Butter Chicken",3.8/5,426,Jeevan Bhima Nagar
Biriyani Bungalow,Casual Dining,"Chicken Biryani, Vegetable Biryani, Hyderabadi Biryani, Mutton Biryani, Paneer Biryani, Chicken Guntur, Tandoori Chicken",3.9/5,222,Sarjapur Road
Rustic Stove,Casual Dining,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish",3.7 /5,582,Jayanagar
